¿En qué ciudad se encuentra el Museo del Louvre?,Amsterdam,Londres,París,París
¿Dónde se encuentra el Museo Van Gogh?,Amsterdam,Londres,París,Amsterdam
La estatua Cristo Redentor, ¿dónde se encuentra?,Venezuela,Ecuador.,Brasi,Brasil
¿Cómo se denomina la persona que diseca animales?,Taxidermista,Taxidermo,Taxidermiante,Taxidermista
¿En qué movimiento cultural se encuentra Joan Miró?,Impresionismo,Slurrealismo,Cubismo,Surrealismo
¿Cómo murió Juana de Arco?,Quemada en la hoguera,Decapitada,Envenenada,Quemada en la hoguera
¿Quién descubrió la penicilina?,Marie Curie,Pasteur,Flemming,Flemming
¿Cómo es la carga del protón?,Negativa,Positiva,No tiene carga,Positiva
La ciencia o rama de la biología que estudia los vegetales se denomina:,Botánica,Ecología,Microbiología,Botánica
¿Quién pintó La última cena?,Tiziano,Miguel Ángel,Da Vinci,Da Vinci
¿Cuál es el elemento químico cuyo símbolo es Fe?,Hierro,Ferilio,Estroncio,Hierro
¿Cuál de las siguientes palabras es un sustantivo?,Comer,Completar,Manjar,Manjar
¿Cuál de las siguientes palabras tiene el mismo significado que <<suspicacia>>?,Recelo,Vínculo,Sobriedad,Recelo
¿En qué movimiento cultural se encuentra Salvador Dalí?,Romanticismo,Surrealismo,Fauvismo,Surrealismo
